sent_uid,filing_id,year,quarter,sentence,suggested_risk_terms,gold_risk_terms
0,0000002969_0000002969-20-000019,2020,2020Q2,"Although the duration and ultimate impact of these factors is unknown at this time, the decline in economic conditions due to COVID-19, or another disease-causing similar impacts, may adversely affect our business, financial condition and results of operations and such impact may be material.",,
1,0000318154_0000318154-18-000008,2018,2018Q2,"In April 2018, our Board of Directors increased the amount authorized under our stock repurchase program by an additional $5.0 billion.",,
2,0001858681_0001858681-25-000034,2025,2025Q1,"Compared to an FIA, RILAs have the potential for higher returns but also have the potential for risk of loss to principal and related earnings.",potential for risk,
3,0000352541_0000352541-13-000026,2013,2013Q4,"SIPs that provide details of how these guidelines are to be met would be required from state agencies by June 30, 2016.",,
4,0000050725_0000050725-25-000065,2025,2025Q2,Certain raw materials used by CPP may be sourced from China and therefore may have their prices and availability impacted by tariffs imposed on trade between the United States and China.,,
5,0000885725_0000885725-14-000022,2014,2014Q3,The following are some of the important risk factors that could cause our actual results to differ materially from our expectations in any forward-looking statements.,the important risk,
6,0001164727_0001164727-25-000011,2025,2025Q1,"While these efforts are designed to align with industry best practices, no system can eliminate all risks, especially given the pace of technological advancement and the evolving nature and increased frequency of cyber threats.",eliminate all risks,
7,0000002969_0001193125-14-423115,2014,2014Q4,Shortages or price escalation in these materials could negatively impact financial results.,,
8,0000858877_0001193125-11-319161,2011,2011Q4,The provision for the liability related to purchase commitments with contract manufacturers and suppliers increased due to higher provisions related to certain component supplies that we secured for our extended needs and due to higher contract manufacturer excess and obsolescence charges.,,
9,0001071739_0001071739-25-000150,2025,2025Q3,"Further, beginning in plan year 2026, consumers who automatically re-enroll into a fully subsidized Marketplace plan will be re-enrolled into the same plan with a $5 premium until the consumer updates their exchange application to confirm APTC eligibility.",,
10,0001326003_0001193125-15-077872,2015,2015Q1,"As a BDC, we are required to carry our investments at market value or, if no market value is ascertainable, at fair value as determined in good faith by or under the direction of our Board of Directors.",,
11,0000093410_0000891618-09-000166,2009,2009Q2,"Chevron is a major fully integrated petroleum company with a diversified business portfolio, a strong balance sheet, and a history of generating sufficient cash to fund capital and exploratory expenditures and to pay dividends.",,
12,0001013237_0001628280-25-045769,2025,2025Q4,"An equity market decline not only depresses the value of assets under management but also could cause a significant increase in redemption requests from our clients’ customers, further reducing their assets under management.",,
13,0000004962_0001193125-09-218953,2009,2009Q4,"In September 2009, legislation was introduced in House of Representatives to accelerate the effective date of the remaining provisions of the CARD Act to December 1, 2009.",,
14,0000318154_0000318154-18-000008,2018,2018Q2,"The primary objective of our investment portfolio is to enhance overall returns in an efficient manner while maintaining safety of principal, prudent levels of liquidity and acceptable levels of risk.",levels of risk,
15,0001123360_0001123360-25-000077,2025,2025Q4,Any of these factors could adversely affect our financial condition and results of operations.,,
16,0001659166_0001659166-25-000120,2025,2025Q3,• We repurchased 2 million shares of our common stock for approximately $153 million under our share repurchase program.,,
17,0000017843_0000017843-25-000011,2025,2025Q2,"We have evaluated the risks associated with our business and operations and determined that those risk factors included in Part 1, Item 1A of our 2024 Annual Report on Form 10-K adequately disclose the material risks that we face.",evaluated the risks; that those risk; the material risks,
